Text,Type
"Следователи СК России будут расследовать очередные преступления вооруженных формирований Украины в отношении мирных жителей Белгородской и Курской областей  По сообщению органов исполнительной власти, в результате обстрела ВСУ из РСЗО города Шебекино пострадали два мирных жителя.   В селе Веселое Глушковского района Курской области вследствие сброса с украинского дрона взрывного устройства ранен мужчина.   Следственный комитет России детально установит обстоятельства произошедшего, действиям всех причастных лиц будет дана правовая оценка.  Информационный центр СК России",0
"🌤Погодные условия на наших дорогах на ближайшие сутки☔️   🌤☔️ В четверг на трассах М-1 «Беларусь» и М-3 «Украина», по прогнозу, преимущественно без осадков. Ночью ожидается местами дождь.  ☀️☔️ На М-4 «Дон» сегодня преимущественно без осадков. В ночь на пятницу на всем протяжении трассы ожидается местами дождь.  🌤☔️ На М-11 «Нева» в четверг в Московской области преимущественно без осадков; в Тверской, Новгородской и Ленинградской областях, по прогнозу, местами дождь. Вероятность дождя сохранится на всем протяжении трассы с ночи четверга и до утра пятницы.   🌤☔️ На М-12 «Восток» сегодня днем преимущественно без осадков. В ночь на пятницу на всем протяжении трассы прогнозируется местами дождь.  ⚠ Будьте внимательны на дороге, особенно в ночные часы. Во время дождя избегайте резких маневров. Соблюдайте безопасную дистанцию и скоростной режим. Следите за сообщениями на информационных табло.   📰 Подписывайтесь и следите за новостями",1
"5️⃣7️⃣9️⃣0️⃣Глава СК России затребовал доклад по уголовному делу о воспрепятствовании профессиональной деятельности журналистов в г. Москве  В эфире федерального телеканала сообщалось, что 15 мая текущего года сотрудник охраны Лианозовского парка в городе Москве применил насилие в отношении корреспондента телеканала «Россия 24», который выполнял редакционное задание и пытался ознакомиться с документацией на действующие в парке аттракционы.   В ГСУ СК России по городу Москве возбуждено уголовное дело.   ❗️Председатель Следственного комитета Российской Федерации Александр Иванович Бастрыкин затребовал у руководителя ГСУ СК России по городу Москве Андрея Александровича Стрижова доклад о ходе и результатах расследования уголовного дела.  Исполнение поручения поставлено на контроль в центральном аппарате ведомства.  #КонтрольПредседателяСКР #КонтрольЭфира #Москва  Информационный центр СК России",1
"Выручка ""Ростелекома"" в I квартале по МСФО выросла на 9%  Выручка ПАО ""Ростелеком"" в I квартале по МСФО составила 173,8 млрд рублей, увеличившись на 9% по сравнению с аналогичным периодом 2023 года, говорится в сообщении компании.  Показатель OIBDA вырос на 4% - до 74,4 млрд рублей. Рентабельность по OIBDA сократилась до 42,8% с 45% за I квартал 2023 года.  Чистая прибыль в январе-марте составила 12,5 млрд рублей, сократившись на 28%. Операционная прибыль снизилась на 6% - до 31,8 млрд рублей. Прибыль до налогообложения составила 15,1 млрд рублей, что на 32,6% меньше, чем годом ранее.  @ifax_go",1
"Главе ведомства будет представлен доклад о ходе проверки по факту возможного нарушения жилищных прав жительницы Тульской области  В соцмедиа сообщается, что жительница города Белёва Тульской области вынуждена проживать в аварийном доме 1836 года постройки. После того, как подъезд, в котором она ранее жила, рухнул, женщину переселили в соседний в этом же полуразрушенном здании, которое может рухнуть в любой момент. По факту возможного нарушения её прав следственными органами СК России по Тульской области проводится проверка.  Глава ведомства дал поручение руководителю СУ по Тульской области Усову В.В. доложить о ходе проводимой проверки.  Информационный центр СК России",0
"Татарстанцам рассказали, как попасть в новый батальон «Батыр»  По словам офицера пункта отбора на службу по контракту в Казани Егора Горячева, главное — желание. — В скором времени в пункте отбора на военную службу по контракту будет открыт набор в именной батальон «Батыр». Желающие могут обратиться в Центр отбора «Батыр» или в районный комиссариат. Со всеми вопросами граждане могут обратиться на «горячую линию» по телефону: 8 (843) 221-44-52 или на узнать информацию портале.",0
"Военкомат: «Граждане разных стран подписывают контракт с Минобороны в Татарстане»  Об этом и том как попасть в новый батальон «Батыр» можно прочитать здесь: https://www.tatar-inform.ru/news/voenkomat-grazdane-raznyx-stran-podpisyvayut-kontrakt-s-minoborony-v-tatarstane-5946258",0
🌍🔝Генконсул Казахстана в КФУ: «Мечта дипломата сбылась!»  Торжественное открытие кабинета казахского языка и культуры имени Абая Кунанбаева в КФУ состоялось вечера в Институте филологии и межкультурной коммуникации КФУ. В торжественном мероприятии принял участие Генеральный консул Республики Казахстан в города Казани Ерлан Искаков.  Создание такого кабинета стало возможным благодаря поступившей в адрес КФУ инициативе от Евразийского национального университета.  👉Подробнее – тут.,0
❗️Главе ведомства будет представлен доклад о ходе проведения проверки по сообщению о незаконном лишении свободы медицинских работников в Пермском крае  8 мая 2024 года мужчина запер и удерживал работников бригады скорой медицинской помощи  в своей квартире после отказа последних от госпитализации его матери при отсутствии на то оснований. Следственными органами СК России по Пермскому краю по данному факту организовано проведение доследственной проверки.   Председатель СК России поручил и.о. руководителя СУ по Пермскому краю Сафонову В.А. представить доклад о ходе процессуальной проверки.  ⚡️Подписывайтесь на Следком,1
"🚔 Полицейские подмосковного Подольска раскрыли разбойное нападение на таксиста и угон его машины  ✍️ По предварительной информации, в вечернее время молодые люди на такси отправились из столицы в подмосковный Подольск и в пути, используя для общения между собой мессенджер, договорились напасть на водителя, чтобы угнать его автомобиль. Доехав до пункта назначения, сообщники брызнули перцовым баллончиком в лицо таксисту, вытолкали его из салона, после чего уехали с места происшествия на легковушке пострадавшего. Доехав до Домодедово, один из злоумышленников покинул угнанную иномарку, а его подельник направился обратно в столицу.  📱 К этому моменту потерпевший обратился в дежурную часть полиции Подольска. Информация об угоне его транспорта была направлена всем наружным нарядам полиции, в том числе коллегам из ГУ МВД России по г. Москве. Спустя некоторое время указанный в ориентировке автомобиль был обнаружен столичными автоинспекторами в Южном Бирюлево. Стражи правопорядка начали преследование подозреваемого. Пытаясь скрыться, лихач врезался в ограждение, после чего был задержан сотрудниками ДПС.  🤲 Позднее полицейские подмосковного Подольска в результате оперативно-розыскных мероприятий задержали в Люберцах второго участника разбоя и угона.  📃 В отношении обоих подельников возбуждены уголовные дела по статьям 162 и 166 Уголовного кодекса Российской Федерации. На время расследования фигуранты заключены под стражу.  🚔 Подписаться на МВД МЕДИА",0
